Team,OVA
Chelsea,83
Liverpool,82
Manchester United,82
Arsenal,81
Manchester City,81
Aston Villa,79
Everton,79
Tottenham Hotspur,79
West Ham United,76
Fulham,76
Blackburn Rovers,75
Bolton Wanderers,75
Sunderland,75
Portsmouth,75
Birmingham City,74
Wigan Athletic,74
Stoke City,73
Hull City,73
Burnley,72
Newcastle United,72
Wolverhampton Wanderers,72
Middlesbrough,70
Queens Park Rangers,69
West Bromwich Albion,69
Reading,68
Bristol City,68
Cardiff City,68
Sheffield United,67
Crystal Palace,67
Preston North End,67
Sheffield Wednesday,67
Derby County,67
Ipswich Town,67
Nottingham Forest,66
Leicester City,66
Swansea City,66
Watford,65
Barnsley,65
Coventry City,64
Plymouth Argyle,64
Doncaster Rovers,64
Scunthorpe United,64
Blackpool,63
Peterborough United,61
