Team,OVA
Chelsea,83
Manchester City,83
Manchester United,83
Arsenal,81
Liverpool,81
Tottenham Hotspur,81
Everton,77
Newcastle United,77
Fulham,77
Aston Villa,76
Stoke City,76
Queens Park Rangers,76
Sunderland,76
Wolverhampton Wanderers,75
Blackburn Rovers,74
Bolton Wanderers,74
West Bromwich Albion,74
West Ham United,73
Swansea City,73
Norwich City,72
Birmingham City,72
Wigan Athletic,72
Leeds United,70
Southampton,70
Derby County,70
Leicester City,70
Burnley,69
Crystal Palace,69
Middlesbrough,69
Blackpool,69
Cardiff City,69
Reading,68
Nottingham Forest,68
Hull City,68
Portsmouth,68
Watford,67
Brighton & Hove Albion,67
Ipswich Town,67
Bristol City,67
Doncaster Rovers,67
Millwall,66
Coventry City,65
Barnsley,65
Peterborough United,65
