Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
12/09/2020,Fulham,Arsenal,0,3,A,75,80,-5
12/09/2020,Crystal Palace,Southampton,1,0,H,76,76,0
12/09/2020,Liverpool,Leeds,4,3,H,85,76,9
12/09/2020,West Ham,Newcastle,0,2,A,78,76,2
13/09/2020,West Brom,Leicester,0,3,A,73,80,-7
13/09/2020,Tottenham,Everton,0,1,A,82,79,3
14/09/2020,Brighton,Chelsea,1,3,A,75,82,-7
14/09/2020,Sheffield United,Wolves,0,2,A,73,79,-6
19/09/2020,Everton,West Brom,5,2,H,79,73,6
19/09/2020,Leeds,Fulham,4,3,H,76,75,1
19/09/2020,Man United,Crystal Palace,1,3,A,82,76,6
19/09/2020,Arsenal,West Ham,2,1,H,80,78,2
20/09/2020,Southampton,Tottenham,2,5,A,76,82,-6
20/09/2020,Newcastle,Brighton,0,3,A,76,75,1
20/09/2020,Chelsea,Liverpool,0,2,A,82,85,-3
20/09/2020,Leicester,Burnley,4,2,H,80,76,4
21/09/2020,Aston Villa,Sheffield United,1,0,H,77,73,4
21/09/2020,Wolves,Man City,1,3,A,79,85,-6
26/09/2020,Brighton,Man United,2,3,A,75,82,-7
26/09/2020,Crystal Palace,Everton,1,2,A,76,79,-3
26/09/2020,West Brom,Chelsea,3,3,D,73,82,-9
26/09/2020,Burnley,Southampton,0,1,A,76,76,0
27/09/2020,Sheffield United,Leeds,0,1,A,73,76,-3
27/09/2020,Tottenham,Newcastle,1,1,D,82,76,6
27/09/2020,Man City,Leicester,2,5,A,85,80,5
27/09/2020,West Ham,Wolves,4,0,H,78,79,-1
28/09/2020,Fulham,Aston Villa,0,3,A,75,77,-2
28/09/2020,Liverpool,Arsenal,3,1,H,85,80,5
03/10/2020,Chelsea,Crystal Palace,4,0,H,82,76,6
03/10/2020,Everton,Brighton,4,2,H,79,75,4
03/10/2020,Leeds,Man City,1,1,D,76,85,-9
03/10/2020,Newcastle,Burnley,3,1,H,76,76,0
04/10/2020,Leicester,West Ham,0,3,A,80,78,2
04/10/2020,Southampton,West Brom,2,0,H,76,73,3
04/10/2020,Arsenal,Sheffield United,2,1,H,80,73,7
04/10/2020,Wolves,Fulham,1,0,H,79,75,4
04/10/2020,Man United,Tottenham,1,6,A,82,82,0
04/10/2020,Aston Villa,Liverpool,7,2,H,77,85,-8
17/10/2020,Everton,Liverpool,2,2,D,79,85,-6
17/10/2020,Chelsea,Southampton,3,3,D,82,76,6
17/10/2020,Man City,Arsenal,1,0,H,85,80,5
17/10/2020,Newcastle,Man United,1,4,A,76,82,-6
18/10/2020,Sheffield United,Fulham,1,1,D,73,75,-2
18/10/2020,Crystal Palace,Brighton,1,1,D,76,75,1
18/10/2020,Tottenham,West Ham,3,3,D,82,78,4
18/10/2020,Leicester,Aston Villa,0,1,A,80,77,3
19/10/2020,West Brom,Burnley,0,0,D,73,76,-3
19/10/2020,Leeds,Wolves,0,1,A,76,79,-3
23/10/2020,Aston Villa,Leeds,0,3,A,77,76,1
24/10/2020,West Ham,Man City,1,1,D,78,85,-7
24/10/2020,Fulham,Crystal Palace,1,2,A,75,76,-1
24/10/2020,Man United,Chelsea,0,0,D,82,82,0
24/10/2020,Liverpool,Sheffield United,2,1,H,85,73,12
25/10/2020,Southampton,Everton,2,0,H,76,79,-3
25/10/2020,Wolves,Newcastle,1,1,D,79,76,3
25/10/2020,Arsenal,Leicester,0,1,A,80,80,0
26/10/2020,Brighton,West Brom,1,1,D,75,73,2
26/10/2020,Burnley,Tottenham,0,1,A,76,82,-6
30/10/2020,Wolves,Crystal Palace,2,0,H,79,76,3
31/10/2020,Sheffield United,Man City,0,1,A,73,85,-12
31/10/2020,Burnley,Chelsea,0,3,A,76,82,-6
