Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
13/08/2021,Brentford,Arsenal,2,0,H,74,80,-6
14/08/2021,Man United,Leeds,5,1,H,83,76,7
14/08/2021,Burnley,Brighton,1,2,A,76,76,0
14/08/2021,Chelsea,Crystal Palace,3,0,H,84,76,8
14/08/2021,Everton,Southampton,3,1,H,78,76,2
14/08/2021,Leicester,Wolves,1,0,H,80,78,2
14/08/2021,Watford,Aston Villa,3,2,H,74,78,-4
14/08/2021,Norwich,Liverpool,0,3,A,73,85,-12
15/08/2021,Newcastle,West Ham,2,4,A,77,79,-2
15/08/2021,Tottenham,Man City,1,0,H,81,85,-4
21/08/2021,Liverpool,Burnley,2,0,H,85,76,9
21/08/2021,Aston Villa,Newcastle,2,0,H,78,77,1
21/08/2021,Crystal Palace,Brentford,0,0,D,76,74,2
21/08/2021,Leeds,Everton,2,2,D,76,78,-2
21/08/2021,Man City,Norwich,5,0,H,85,73,12
21/08/2021,Brighton,Watford,2,0,H,76,74,2
22/08/2021,Southampton,Man United,1,1,D,76,83,-7
22/08/2021,Wolves,Tottenham,0,1,A,78,81,-3
22/08/2021,Arsenal,Chelsea,0,2,A,80,84,-4
23/08/2021,West Ham,Leicester,4,1,H,79,80,-1
28/08/2021,Man City,Arsenal,5,0,H,85,80,5
28/08/2021,Aston Villa,Brentford,1,1,D,78,74,4
28/08/2021,Brighton,Everton,0,2,A,76,78,-2
28/08/2021,Newcastle,Southampton,2,2,D,77,76,1
28/08/2021,Norwich,Leicester,1,2,A,73,80,-7
28/08/2021,West Ham,Crystal Palace,2,2,D,79,76,3
28/08/2021,Liverpool,Chelsea,1,1,D,85,84,1
29/08/2021,Burnley,Leeds,1,1,D,76,76,0
29/08/2021,Tottenham,Watford,1,0,H,81,74,7
29/08/2021,Wolves,Man United,0,1,A,78,83,-5
11/09/2021,Crystal Palace,Tottenham,3,0,H,76,81,-5
11/09/2021,Arsenal,Norwich,1,0,H,80,73,7
11/09/2021,Brentford,Brighton,0,1,A,74,76,-2
11/09/2021,Leicester,Man City,0,1,A,80,85,-5
11/09/2021,Man United,Newcastle,4,1,H,83,77,6
11/09/2021,Southampton,West Ham,0,0,D,76,79,-3
11/09/2021,Watford,Wolves,0,2,A,74,78,-4
11/09/2021,Chelsea,Aston Villa,3,0,H,84,78,6
12/09/2021,Leeds,Liverpool,0,3,A,76,85,-9
13/09/2021,Everton,Burnley,3,1,H,78,76,2
17/09/2021,Newcastle,Leeds,1,1,D,77,76,1
18/09/2021,Wolves,Brentford,0,2,A,78,74,4
18/09/2021,Burnley,Arsenal,0,1,A,76,80,-4
18/09/2021,Liverpool,Crystal Palace,3,0,H,85,76,9
18/09/2021,Man City,Southampton,0,0,D,85,76,9
