Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
18/09/2021,Norwich,Watford,1,3,A,73,74,-1
18/09/2021,Aston Villa,Everton,3,0,H,78,78,0
19/09/2021,Brighton,Leicester,2,1,H,76,80,-4
19/09/2021,West Ham,Man United,1,2,A,79,83,-4
19/09/2021,Tottenham,Chelsea,0,3,A,81,84,-3
25/09/2021,Chelsea,Man City,0,1,A,84,85,-1
25/09/2021,Man United,Aston Villa,0,1,A,83,78,5
25/09/2021,Everton,Norwich,2,0,H,78,73,5
25/09/2021,Leeds,West Ham,1,2,A,76,79,-3
25/09/2021,Leicester,Burnley,2,2,D,80,76,4
25/09/2021,Watford,Newcastle,1,1,D,74,77,-3
25/09/2021,Brentford,Liverpool,3,3,D,74,85,-11
26/09/2021,Southampton,Wolves,0,1,A,76,78,-2
26/09/2021,Arsenal,Tottenham,3,1,H,80,81,-1
27/09/2021,Crystal Palace,Brighton,1,1,D,76,76,0
02/10/2021,Man United,Everton,1,1,D,83,78,5
02/10/2021,Burnley,Norwich,0,0,D,76,73,3
02/10/2021,Chelsea,Southampton,3,1,H,84,76,8
02/10/2021,Leeds,Watford,1,0,H,76,74,2
02/10/2021,Wolves,Newcastle,2,1,H,78,77,1
02/10/2021,Brighton,Arsenal,0,0,D,76,80,-4
03/10/2021,Crystal Palace,Leicester,2,2,D,76,80,-4
03/10/2021,Tottenham,Aston Villa,2,1,H,81,78,3
03/10/2021,West Ham,Brentford,1,2,A,79,74,5
03/10/2021,Liverpool,Man City,2,2,D,85,85,0
16/10/2021,Watford,Liverpool,0,5,A,74,85,-11
16/10/2021,Aston Villa,Wolves,2,3,A,78,78,0
16/10/2021,Leicester,Man United,4,2,H,80,83,-3
16/10/2021,Man City,Burnley,2,0,H,85,76,9
16/10/2021,Norwich,Brighton,0,0,D,73,76,-3
16/10/2021,Southampton,Leeds,1,0,H,76,76,0
16/10/2021,Brentford,Chelsea,0,1,A,74,84,-10
17/10/2021,Everton,West Ham,0,1,A,78,79,-1
17/10/2021,Newcastle,Tottenham,2,3,A,77,81,-4
18/10/2021,Arsenal,Crystal Palace,2,2,D,80,76,4
22/10/2021,Arsenal,Aston Villa,3,1,H,80,78,2
23/10/2021,Chelsea,Norwich,7,0,H,84,73,11
23/10/2021,Crystal Palace,Newcastle,1,1,D,76,77,-1
23/10/2021,Everton,Watford,2,5,A,78,74,4
23/10/2021,Leeds,Wolves,1,1,D,76,78,-2
23/10/2021,Southampton,Burnley,2,2,D,76,76,0
23/10/2021,Brighton,Man City,1,4,A,76,85,-9
24/10/2021,Brentford,Leicester,1,2,A,74,80,-6
24/10/2021,West Ham,Tottenham,1,0,H,79,81,-2
24/10/2021,Man United,Liverpool,0,5,A,83,85,-2
30/10/2021,Leicester,Arsenal,0,2,A,80,80,0
30/10/2021,Burnley,Brentford,3,1,H,76,74,2
30/10/2021,Liverpool,Brighton,2,2,D,85,76,9
30/10/2021,Man City,Crystal Palace,0,2,A,85,76,9
30/10/2021,Newcastle,Chelsea,0,3,A,77,84,-7
30/10/2021,Watford,Southampton,0,1,A,74,76,-2
30/10/2021,Tottenham,Man United,0,3,A,81,83,-2
31/10/2021,Norwich,Leeds,1,2,A,73,76,-3
31/10/2021,Aston Villa,West Ham,1,4,A,78,79,-1
01/11/2021,Wolves,Everton,2,1,H,78,78,0
05/11/2021,Southampton,Aston Villa,1,0,H,76,78,-2
06/11/2021,Man United,Man City,0,2,A,83,85,-2
06/11/2021,Brentford,Norwich,1,2,A,74,73,1
06/11/2021,Chelsea,Burnley,1,1,D,84,76,8
06/11/2021,Crystal Palace,Wolves,2,0,H,76,78,-2
06/11/2021,Brighton,Newcastle,1,1,D,76,77,-1
07/11/2021,Arsenal,Watford,1,0,H,80,74,6
07/11/2021,Everton,Tottenham,0,0,D,78,81,-3
07/11/2021,Leeds,Leicester,1,1,D,76,80,-4
07/11/2021,West Ham,Liverpool,3,2,H,79,85,-6
20/11/2021,Leicester,Chelsea,0,3,A,80,84,-4
20/11/2021,Aston Villa,Brighton,2,0,H,78,76,2
20/11/2021,Burnley,Crystal Palace,3,3,D,76,76,0
20/11/2021,Newcastle,Brentford,3,3,D,77,74,3
20/11/2021,Norwich,Southampton,2,1,H,73,76,-3
20/11/2021,Watford,Man United,4,1,H,74,83,-9
20/11/2021,Wolves,West Ham,1,0,H,78,79,-1
20/11/2021,Liverpool,Arsenal,4,0,H,85,80,5
21/11/2021,Man City,Everton,3,0,H,85,78,7
21/11/2021,Tottenham,Leeds,2,1,H,81,76,5
27/11/2021,Arsenal,Newcastle,2,0,H,80,77,3
27/11/2021,Crystal Palace,Aston Villa,1,2,A,76,78,-2
27/11/2021,Liverpool,Southampton,4,0,H,85,76,9
27/11/2021,Norwich,Wolves,0,0,D,73,78,-5
27/11/2021,Brighton,Leeds,0,0,D,76,76,0
28/11/2021,Brentford,Everton,1,0,H,74,78,-4
28/11/2021,Leicester,Watford,4,2,H,80,74,6
28/11/2021,Man City,West Ham,2,1,H,85,79,6
28/11/2021,Chelsea,Man United,1,1,D,84,83,1
30/11/2021,Newcastle,Norwich,1,1,D,77,73,4
30/11/2021,Leeds,Crystal Palace,1,0,H,76,76,0
01/12/2021,Southampton,Leicester,2,2,D,76,80,-4
01/12/2021,Watford,Chelsea,1,2,A,74,84,-10
01/12/2021,West Ham,Brighton,1,1,D,79,76,3
01/12/2021,Wolves,Burnley,0,0,D,78,76,2
01/12/2021,Aston Villa,Man City,1,2,A,78,85,-7
01/12/2021,Everton,Liverpool,1,4,A,78,85,-7
02/12/2021,Tottenham,Brentford,2,0,H,81,74,7
02/12/2021,Man United,Arsenal,3,2,H,83,80,3
04/12/2021,West Ham,Chelsea,3,2,H,79,84,-5
04/12/2021,Newcastle,Burnley,1,0,H,77,76,1
04/12/2021,Southampton,Brighton,1,1,D,76,76,0
04/12/2021,Wolves,Liverpool,0,1,A,78,85,-7
04/12/2021,Watford,Man City,1,3,A,74,85,-11
05/12/2021,Leeds,Brentford,2,2,D,76,74,2
05/12/2021,Man United,Crystal Palace,1,0,H,83,76,7
05/12/2021,Tottenham,Norwich,3,0,H,81,73,8
05/12/2021,Aston Villa,Leicester,2,1,H,78,80,-2
06/12/2021,Everton,Arsenal,2,1,H,78,80,-2
10/12/2021,Brentford,Watford,2,1,H,74,74,0
11/12/2021,Man City,Wolves,1,0,H,85,78,7
11/12/2021,Arsenal,Southampton,3,0,H,80,76,4
11/12/2021,Chelsea,Leeds,3,2,H,84,76,8
11/12/2021,Liverpool,Aston Villa,1,0,H,85,78,7
11/12/2021,Norwich,Man United,0,1,A,73,83,-10
12/12/2021,Burnley,West Ham,0,0,D,76,79,-3
12/12/2021,Leicester,Newcastle,4,0,H,80,77,3
12/12/2021,Crystal Palace,Everton,3,1,H,76,78,-2
14/12/2021,Norwich,Aston Villa,0,2,A,73,78,-5
14/12/2021,Man City,Leeds,7,0,H,85,76,9
15/12/2021,Brighton,Wolves,0,1,A,76,78,-2
15/12/2021,Crystal Palace,Southampton,2,2,D,76,76,0
15/12/2021,Arsenal,West Ham,2,0,H,80,79,1
16/12/2021,Chelsea,Everton,1,1,D,84,78,6
16/12/2021,Liverpool,Newcastle,3,1,H,85,77,8
18/12/2021,Leeds,Arsenal,1,4,A,76,80,-4
19/12/2021,Newcastle,Man City,0,4,A,77,85,-8
19/12/2021,Wolves,Chelsea,0,0,D,78,84,-6
19/12/2021,Tottenham,Liverpool,2,2,D,81,85,-4
26/12/2021,Man City,Leicester,6,3,H,85,80,5
26/12/2021,Norwich,Arsenal,0,5,A,73,80,-7
26/12/2021,Tottenham,Crystal Palace,3,0,H,81,76,5
26/12/2021,West Ham,Southampton,2,3,A,79,76,3
26/12/2021,Aston Villa,Chelsea,1,3,A,78,84,-6
26/12/2021,Brighton,Brentford,2,0,H,76,74,2
27/12/2021,Newcastle,Man United,1,1,D,77,83,-6
28/12/2021,Crystal Palace,Norwich,3,0,H,76,73,3
28/12/2021,Southampton,Tottenham,1,1,D,76,81,-5
28/12/2021,Watford,West Ham,1,4,A,74,79,-5
28/12/2021,Leicester,Liverpool,1,0,H,80,85,-5
29/12/2021,Chelsea,Brighton,1,1,D,84,76,8
29/12/2021,Brentford,Man City,0,1,A,74,85,-11
30/12/2021,Man United,Burnley,3,1,H,83,76,7
01/01/2022,Arsenal,Man City,1,2,A,80,85,-5
01/01/2022,Watford,Tottenham,0,1,A,74,81,-7
01/01/2022,Crystal Palace,West Ham,2,3,A,76,79,-3
02/01/2022,Brentford,Aston Villa,2,1,H,74,78,-4
02/01/2022,Everton,Brighton,2,3,A,78,76,2
02/01/2022,Leeds,Burnley,3,1,H,76,76,0
02/01/2022,Chelsea,Liverpool,2,2,D,84,85,-1
03/01/2022,Man United,Wolves,0,1,A,83,78,5
11/01/2022,Southampton,Brentford,4,1,H,76,74,2
12/01/2022,West Ham,Norwich,2,0,H,79,73,6
14/01/2022,Brighton,Crystal Palace,1,1,D,76,76,0
15/01/2022,Man City,Chelsea,1,0,H,85,84,1
15/01/2022,Newcastle,Watford,1,1,D,77,74,3
15/01/2022,Norwich,Everton,2,1,H,73,78,-5
15/01/2022,Wolves,Southampton,3,1,H,78,76,2
15/01/2022,Aston Villa,Man United,2,2,D,78,83,-5
16/01/2022,Liverpool,Brentford,3,0,H,85,74,11
16/01/2022,West Ham,Leeds,2,3,A,79,76,3
18/01/2022,Brighton,Chelsea,1,1,D,76,84,-8
19/01/2022,Leicester,Tottenham,2,3,A,80,81,-1
19/01/2022,Brentford,Man United,1,3,A,74,83,-9
21/01/2022,Watford,Norwich,0,3,A,74,73,1
22/01/2022,Everton,Aston Villa,0,1,A,78,78,0
22/01/2022,Brentford,Wolves,1,2,A,74,78,-4
22/01/2022,Leeds,Newcastle,0,1,A,76,77,-1
22/01/2022,Man United,West Ham,1,0,H,83,79,4
22/01/2022,Southampton,Man City,1,1,D,76,85,-9
23/01/2022,Arsenal,Burnley,0,0,D,80,76,4
23/01/2022,Crystal Palace,Liverpool,1,3,A,76,85,-9
23/01/2022,Leicester,Brighton,1,1,D,80,76,4
23/01/2022,Chelsea,Tottenham,2,0,H,84,81,3
05/02/2022,Burnley,Watford,0,0,D,76,74,2
08/02/2022,Newcastle,Everton,3,1,H,77,78,-1
08/02/2022,West Ham,Watford,1,0,H,79,74,5
08/02/2022,Burnley,Man United,1,1,D,76,83,-7
09/02/2022,Man City,Brentford,2,0,H,85,74,11
09/02/2022,Norwich,Crystal Palace,1,1,D,73,76,-3
09/02/2022,Tottenham,Southampton,2,3,A,81,76,5
09/02/2022,Aston Villa,Leeds,3,3,D,78,76,2
10/02/2022,Liverpool,Leicester,2,0,H,85,80,5
10/02/2022,Wolves,Arsenal,0,1,A,78,80,-2
12/02/2022,Man United,Southampton,1,1,D,83,76,7
12/02/2022,Brentford,Crystal Palace,0,0,D,74,76,-2
12/02/2022,Everton,Leeds,3,0,H,78,76,2
12/02/2022,Watford,Brighton,0,2,A,74,76,-2
12/02/2022,Norwich,Man City,0,4,A,73,85,-12
13/02/2022,Burnley,Liverpool,0,1,A,76,85,-9
13/02/2022,Newcastle,Aston Villa,1,0,H,77,78,-1
13/02/2022,Tottenham,Wolves,0,2,A,81,78,3
13/02/2022,Leicester,West Ham,2,2,D,80,79,1
15/02/2022,Man United,Brighton,2,0,H,83,76,7
19/02/2022,West Ham,Newcastle,1,1,D,79,77,2
19/02/2022,Arsenal,Brentford,2,1,H,80,74,6
19/02/2022,Aston Villa,Watford,0,1,A,78,74,4
19/02/2022,Brighton,Burnley,0,3,A,76,76,0
19/02/2022,Crystal Palace,Chelsea,0,1,A,76,84,-8
19/02/2022,Liverpool,Norwich,3,1,H,85,73,12
19/02/2022,Southampton,Everton,2,0,H,76,78,-2
19/02/2022,Man City,Tottenham,2,3,A,85,81,4
20/02/2022,Leeds,Man United,2,4,A,76,83,-7
20/02/2022,Wolves,Leicester,2,1,H,78,80,-2
23/02/2022,Burnley,Tottenham,1,0,H,76,81,-5
23/02/2022,Watford,Crystal Palace,1,4,A,74,76,-2
23/02/2022,Liverpool,Leeds,6,0,H,85,76,9
24/02/2022,Arsenal,Wolves,2,1,H,80,78,2
25/02/2022,Southampton,Norwich,2,0,H,76,73,3
26/02/2022,Leeds,Tottenham,0,4,A,76,81,-5
26/02/2022,Brentford,Newcastle,0,2,A,74,77,-3
26/02/2022,Crystal Palace,Burnley,1,1,D,76,76,0
26/02/2022,Man United,Watford,0,0,D,83,74,9
26/02/2022,Brighton,Aston Villa,0,2,A,76,78,-2
26/02/2022,Everton,Man City,0,1,A,78,85,-7
27/02/2022,West Ham,Wolves,1,0,H,79,78,1
01/03/2022,Burnley,Leicester,0,2,A,76,80,-4
05/03/2022,Leicester,Leeds,1,0,H,80,76,4
05/03/2022,Aston Villa,Southampton,4,0,H,78,76,2
05/03/2022,Burnley,Chelsea,0,4,A,76,84,-8
05/03/2022,Newcastle,Brighton,2,1,H,77,76,1
05/03/2022,Norwich,Brentford,1,3,A,73,74,-1
05/03/2022,Wolves,Crystal Palace,0,2,A,78,76,2
05/03/2022,Liverpool,West Ham,1,0,H,85,79,6
06/03/2022,Watford,Arsenal,2,3,A,74,80,-6
06/03/2022,Man City,Man United,4,1,H,85,83,2
07/03/2022,Tottenham,Everton,5,0,H,81,78,3
10/03/2022,Norwich,Chelsea,1,3,A,73,84,-11
10/03/2022,Southampton,Newcastle,1,2,A,76,77,-1
10/03/2022,Wolves,Watford,4,0,H,78,74,4
10/03/2022,Leeds,Aston Villa,0,3,A,76,78,-2
12/03/2022,Brighton,Liverpool,0,2,A,76,85,-9
12/03/2022,Brentford,Burnley,2,0,H,74,76,-2
12/03/2022,Man United,Tottenham,3,2,H,83,81,2
13/03/2022,Chelsea,Newcastle,1,0,H,84,77,7
13/03/2022,Everton,Wolves,0,1,A,78,78,0
13/03/2022,Leeds,Norwich,2,1,H,76,73,3
13/03/2022,Southampton,Watford,1,2,A,76,74,2
13/03/2022,West Ham,Aston Villa,2,1,H,79,78,1
13/03/2022,Arsenal,Leicester,2,0,H,80,80,0
14/03/2022,Crystal Palace,Man City,0,0,D,76,85,-9
16/03/2022,Brighton,Tottenham,0,2,A,76,81,-5
16/03/2022,Arsenal,Liverpool,0,2,A,80,85,-5
17/03/2022,Everton,Newcastle,1,0,H,78,77,1
18/03/2022,Wolves,Leeds,2,3,A,78,76,2
19/03/2022,Aston Villa,Arsenal,0,1,A,78,80,-2
20/03/2022,Leicester,Brentford,2,1,H,80,74,6
20/03/2022,Tottenham,West Ham,3,1,H,81,79,2
02/04/2022,Liverpool,Watford,2,0,H,85,74,11
02/04/2022,Brighton,Norwich,0,0,D,76,73,3
02/04/2022,Burnley,Man City,0,2,A,76,85,-9
02/04/2022,Chelsea,Brentford,1,4,A,84,74,10
02/04/2022,Leeds,Southampton,1,1,D,76,76,0
02/04/2022,Wolves,Aston Villa,2,1,H,78,78,0
02/04/2022,Man United,Leicester,1,1,D,83,80,3
03/04/2022,West Ham,Everton,2,1,H,79,78,1
03/04/2022,Tottenham,Newcastle,5,1,H,81,77,4
04/04/2022,Crystal Palace,Arsenal,3,0,H,76,80,-4
06/04/2022,Burnley,Everton,3,2,H,76,78,-2
08/04/2022,Newcastle,Wolves,1,0,H,77,78,-1
09/04/2022,Everton,Man United,1,0,H,78,83,-5
09/04/2022,Arsenal,Brighton,1,2,A,80,76,4
09/04/2022,Southampton,Chelsea,0,6,A,76,84,-8
09/04/2022,Watford,Leeds,0,3,A,74,76,-2
09/04/2022,Aston Villa,Tottenham,0,4,A,78,81,-3
10/04/2022,Brentford,West Ham,2,0,H,74,79,-5
10/04/2022,Leicester,Crystal Palace,2,1,H,80,76,4
10/04/2022,Norwich,Burnley,2,0,H,73,76,-3
10/04/2022,Man City,Liverpool,2,2,D,85,85,0
16/04/2022,Tottenham,Brighton,0,1,A,81,76,5
16/04/2022,Man United,Norwich,3,2,H,83,73,10
16/04/2022,Southampton,Arsenal,1,0,H,76,80,-4
16/04/2022,Watford,Brentford,1,2,A,74,74,0
17/04/2022,Newcastle,Leicester,2,1,H,77,80,-3
17/04/2022,West Ham,Burnley,1,1,D,79,76,3
19/04/2022,Liverpool,Man United,4,0,H,85,83,2
20/04/2022,Chelsea,Arsenal,2,4,A,84,80,4
20/04/2022,Everton,Leicester,1,1,D,78,80,-2
20/04/2022,Newcastle,Crystal Palace,1,0,H,77,76,1
20/04/2022,Man City,Brighton,3,0,H,85,76,9
21/04/2022,Burnley,Southampton,2,0,H,76,76,0
23/04/2022,Arsenal,Man United,3,1,H,80,83,-3
23/04/2022,Leicester,Aston Villa,0,0,D,80,78,2
23/04/2022,Man City,Watford,5,1,H,85,74,11
23/04/2022,Norwich,Newcastle,0,3,A,73,77,-4
23/04/2022,Brentford,Tottenham,0,0,D,74,81,-7
24/04/2022,Brighton,Southampton,2,2,D,76,76,0
24/04/2022,Burnley,Wolves,1,0,H,76,78,-2
24/04/2022,Chelsea,West Ham,1,0,H,84,79,5
24/04/2022,Liverpool,Everton,2,0,H,85,78,7
25/04/2022,Crystal Palace,Leeds,0,0,D,76,76,0
28/04/2022,Man United,Chelsea,1,1,D,83,84,-1
30/04/2022,Newcastle,Liverpool,0,1,A,77,85,-8
30/04/2022,Aston Villa,Norwich,2,0,H,78,73,5
30/04/2022,Southampton,Crystal Palace,1,2,A,76,76,0
30/04/2022,Watford,Burnley,1,2,A,74,76,-2
30/04/2022,Wolves,Brighton,0,3,A,78,76,2
30/04/2022,Leeds,Man City,0,4,A,76,85,-9
01/05/2022,Everton,Chelsea,1,0,H,78,84,-6
01/05/2022,Tottenham,Leicester,3,1,H,81,80,1
01/05/2022,West Ham,Arsenal,1,2,A,79,80,-1
02/05/2022,Man United,Brentford,3,0,H,83,74,9
07/05/2022,Brentford,Southampton,3,0,H,74,76,-2
07/05/2022,Burnley,Aston Villa,1,3,A,76,78,-2
07/05/2022,Chelsea,Wolves,2,2,D,84,78,6
07/05/2022,Crystal Palace,Watford,1,0,H,76,74,2
07/05/2022,Brighton,Man United,4,0,H,76,83,-7
07/05/2022,Liverpool,Tottenham,1,1,D,85,81,4
08/05/2022,Arsenal,Leeds,2,1,H,80,76,4
08/05/2022,Leicester,Everton,1,2,A,80,78,2
08/05/2022,Norwich,West Ham,0,4,A,73,79,-6
08/05/2022,Man City,Newcastle,5,0,H,85,77,8
10/05/2022,Aston Villa,Liverpool,1,2,A,78,85,-7
11/05/2022,Leeds,Chelsea,0,3,A,76,84,-8
11/05/2022,Leicester,Norwich,3,0,H,80,73,7
11/05/2022,Watford,Everton,0,0,D,74,78,-4
11/05/2022,Wolves,Man City,1,5,A,78,85,-7
12/05/2022,Tottenham,Arsenal,3,0,H,81,80,1
15/05/2022,Tottenham,Burnley,1,0,H,81,76,5
15/05/2022,Aston Villa,Crystal Palace,1,1,D,78,76,2
15/05/2022,Leeds,Brighton,1,1,D,76,76,0
15/05/2022,Watford,Leicester,1,5,A,74,80,-6
15/05/2022,West Ham,Man City,2,2,D,79,85,-6
15/05/2022,Wolves,Norwich,1,1,D,78,73,5
15/05/2022,Everton,Brentford,2,3,A,78,74,4
16/05/2022,Newcastle,Arsenal,2,0,H,77,80,-3
17/05/2022,Southampton,Liverpool,1,2,A,76,85,-9
19/05/2022,Everton,Crystal Palace,3,2,H,78,76,2
19/05/2022,Aston Villa,Burnley,1,1,D,78,76,2
19/05/2022,Chelsea,Leicester,1,1,D,84,80,4
22/05/2022,Arsenal,Everton,5,1,H,80,78,2
22/05/2022,Brentford,Leeds,1,2,A,74,76,-2
22/05/2022,Brighton,West Ham,3,1,H,76,79,-3
22/05/2022,Burnley,Newcastle,1,2,A,76,77,-1
22/05/2022,Chelsea,Watford,2,1,H,84,74,10
22/05/2022,Crystal Palace,Man United,1,0,H,76,83,-7
22/05/2022,Leicester,Southampton,4,1,H,80,76,4
22/05/2022,Liverpool,Wolves,3,1,H,85,78,7
22/05/2022,Man City,Aston Villa,3,2,H,85,78,7
22/05/2022,Norwich,Tottenham,0,5,A,73,81,-8
