Fixture ID,Game Date,Home Team ID,Away Team ID,Home Team Goals,Away Team Goals,Venue,Home Team,Away Team,Home Team Logo,Away Team Logo
193437,2012-08-18,42.0,74.0,0,0,Emirates Stadium (London),Arsenal,Sunderland,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/746.png
193438,2012-08-18,36.0,71.0,5,0,Craven Cottage (London),Fulham,Norwich,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/teams/71.png
193439,2012-08-18,72.0,76.0,0,5,Loftus Road Stadium (London),QPR,Swansea,https://media.api-sports.io/football/teams/72.png,https://media.api-sports.io/football/teams/76.png
193440,2012-08-18,53.0,75.0,1,1,Madejski Stadium (Reading),Reading,Stoke City,https://media.api-sports.io/football/teams/53.png,https://media.api-sports.io/football/teams/75.png
193441,2012-08-18,60.0,40.0,3,0,The Hawthorns (West Bromwich),West Brom,Liverpool,https://media.api-sports.io/football/teams/60.png,https://media.api-sports.io/football/teams/40.png
193442,2012-08-18,48.0,66.0,1,0,Boleyn Ground (London),West Ham,Aston Villa,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/66.png
193443,2012-08-18,34.0,47.0,2,1,St. James' Park (Newcastle-upon-Tyne),Newcastle,Tottenham,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/47.png
193444,2012-08-19,61.0,49.0,0,2,The DW Stadium (Wigan),Wigan,Chelsea,https://media.api-sports.io/football/teams/61.png,https://media.api-sports.io/football/teams/49.png
193445,2012-08-19,50.0,41.0,3,2,Etihad Stadium (Manchester),Manchester City,Southampton,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/41.png
193446,2012-08-20,45.0,33.0,1,0,Goodison Park (Liverpool),Everton,Manchester United,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/33.png
193457,2012-08-22,49.0,53.0,4,2,Stamford Bridge (London),Chelsea,Reading,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/53.png
193447,2012-08-25,76.0,48.0,3,0,Liberty Stadium (Swansea),Swansea,West Ham,https://media.api-sports.io/football/teams/76.png,https://media.api-sports.io/football/teams/48.png
193448,2012-08-25,66.0,45.0,1,3,Villa Park (Birmingham),Aston Villa,Everton,https://media.api-sports.io/football/teams/66.png,https://media.api-sports.io/football/teams/45.png
193449,2012-08-25,33.0,36.0,3,2,Old Trafford (Manchester),Manchester United,Fulham,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/36.png
193450,2012-08-25,71.0,72.0,1,1,"Carrow Road (Norwich, Norfolk)",Norwich,QPR,https://media.api-sports.io/football/teams/71.png,https://media.api-sports.io/football/teams/72.png
193451,2012-08-25,41.0,61.0,0,2,"St. Mary's Stadium (Southampton, Hampshire)",Southampton,Wigan,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/61.png
193452,2012-08-25,47.0,60.0,1,1,White Hart Lane (London),Tottenham,West Brom,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/60.png
193453,2012-08-25,49.0,34.0,2,0,Stamford Bridge (London),Chelsea,Newcastle,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/34.png
193454,2012-08-26,75.0,42.0,0,0,"Britannia Stadium (Stoke-on-Trent, Staffordshire)",Stoke City,Arsenal,https://media.api-sports.io/football/teams/75.png,https://media.api-sports.io/football/teams/42.png
193455,2012-08-26,40.0,50.0,2,2,Anfield (Liverpool),Liverpool,Manchester City,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/50.png
193458,2012-09-01,48.0,36.0,3,0,Boleyn Ground (London),West Ham,Fulham,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/36.png
193459,2012-09-01,76.0,74.0,2,2,Liberty Stadium (Swansea),Swansea,Sunderland,https://media.api-sports.io/football/teams/76.png,https://media.api-sports.io/football/teams/746.png
193460,2012-09-01,47.0,71.0,1,1,White Hart Lane (London),Tottenham,Norwich,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/71.png
193461,2012-09-01,60.0,45.0,2,0,The Hawthorns (West Bromwich),West Brom,Everton,https://media.api-sports.io/football/teams/60.png,https://media.api-sports.io/football/teams/45.png
193462,2012-09-01,61.0,75.0,2,2,The DW Stadium (Wigan),Wigan,Stoke City,https://media.api-sports.io/football/teams/61.png,https://media.api-sports.io/football/teams/75.png
193463,2012-09-01,50.0,72.0,3,1,Etihad Stadium (Manchester),Manchester City,QPR,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/72.png
193464,2012-09-02,40.0,42.0,0,2,Anfield (Liverpool),Liverpool,Arsenal,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/42.png
193465,2012-09-02,34.0,66.0,1,1,St. James' Park (Newcastle-upon-Tyne),Newcastle,Aston Villa,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/66.png
193466,2012-09-02,41.0,33.0,2,3,"St. Mary's Stadium (Southampton, Hampshire)",Southampton,Manchester United,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/33.png
193467,2012-09-15,71.0,48.0,0,0,"Carrow Road (Norwich, Norfolk)",Norwich,West Ham,https://media.api-sports.io/football/teams/71.png,https://media.api-sports.io/football/teams/48.png
193468,2012-09-15,42.0,41.0,6,1,Emirates Stadium (London),Arsenal,Southampton,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/41.png
193469,2012-09-15,66.0,76.0,2,0,Villa Park (Birmingham),Aston Villa,Swansea,https://media.api-sports.io/football/teams/66.png,https://media.api-sports.io/football/teams/76.png
193470,2012-09-15,36.0,60.0,3,0,Craven Cottage (London),Fulham,West Brom,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/teams/60.png
193471,2012-09-15,33.0,61.0,4,0,Old Trafford (Manchester),Manchester United,Wigan,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/61.png
193472,2012-09-15,72.0,49.0,0,0,Loftus Road Stadium (London),QPR,Chelsea,https://media.api-sports.io/football/teams/72.png,https://media.api-sports.io/football/teams/49.png
193473,2012-09-15,75.0,50.0,1,1,"Britannia Stadium (Stoke-on-Trent, Staffordshire)",Stoke City,Manchester City,https://media.api-sports.io/football/teams/75.png,https://media.api-sports.io/football/teams/50.png
