Fixture ID,Game Date,Home Team ID,Away Team ID,Home Team Goals,Away Team Goals,Venue,Home Team,Away Team,Home Team Logo,Away Team Logo
192921,2015-02-11,33.0,44.0,3,1,Old Trafford,Manchester United,Burnley,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/44.png
192922,2015-02-11,41.0,48.0,0,0,St. Mary's Stadium,Southampton,West Ham,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/48.png
192923,2015-02-11,49.0,45.0,1,0,Stamford Bridge,Chelsea,Everton,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/45.png
192924,2015-02-11,75.0,50.0,1,4,bet365 Stadium,Stoke City,Manchester City,https://media.api-sports.io/football/teams/75.png,https://media.api-sports.io/football/teams/50.png
192925,2015-02-11,52.0,34.0,1,1,Selhurst Park,Crystal Palace,Newcastle,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/34.png
192926,2015-02-11,60.0,76.0,2,0,The Hawthorns,West Brom,Swansea,https://media.api-sports.io/football/teams/60.png,https://media.api-sports.io/football/teams/76.png
192927,2015-02-21,66.0,75.0,1,2,Villa Park,Aston Villa,Stoke City,https://media.api-sports.io/football/teams/66.png,https://media.api-sports.io/football/teams/75.png
192928,2015-02-21,49.0,44.0,1,1,Stamford Bridge,Chelsea,Burnley,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/44.png
192929,2015-02-21,52.0,42.0,1,2,Selhurst Park,Crystal Palace,Arsenal,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/42.png
192930,2015-02-21,64.0,72.0,2,1,KCOM Stadium,Hull City,QPR,https://media.api-sports.io/football/teams/64.png,https://media.api-sports.io/football/teams/72.png
192931,2015-02-21,74.0,60.0,0,0,Stadium of Light,Sunderland,West Brom,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/teams/60.png
192932,2015-02-21,76.0,33.0,2,1,Liberty Stadium,Swansea,Manchester United,https://media.api-sports.io/football/teams/76.png,https://media.api-sports.io/football/teams/33.png
192933,2015-02-21,50.0,34.0,5,0,Etihad Stadium,Manchester City,Newcastle,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/34.png
192934,2015-02-22,47.0,48.0,2,2,White Hart Lane,Tottenham,West Ham,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/48.png
192935,2015-02-22,45.0,46.0,2,2,Goodison Park,Everton,Leicester,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/46.png
192936,2015-02-22,41.0,40.0,0,2,St. Mary's Stadium,Southampton,Liverpool,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/40.png
192937,2015-02-28,48.0,52.0,1,3,London Stadium,West Ham,Crystal Palace,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/52.png
192938,2015-02-28,44.0,76.0,0,1,Turf Moor,Burnley,Swansea,https://media.api-sports.io/football/teams/44.png,https://media.api-sports.io/football/teams/76.png
192939,2015-02-28,33.0,74.0,2,0,Old Trafford,Manchester United,Sunderland,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/746.png
192940,2015-02-28,34.0,66.0,1,0,St James' Park,Newcastle,Aston Villa,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/66.png
192941,2015-02-28,75.0,64.0,1,0,bet365 Stadium,Stoke City,Hull City,https://media.api-sports.io/football/teams/75.png,https://media.api-sports.io/football/teams/64.png
192942,2015-02-28,60.0,41.0,1,0,The Hawthorns,West Brom,Southampton,https://media.api-sports.io/football/teams/60.png,https://media.api-sports.io/football/teams/41.png
192943,2015-03-01,40.0,50.0,2,1,Anfield,Liverpool,Manchester City,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/50.png
192944,2015-03-01,42.0,45.0,2,0,Emirates Stadium,Arsenal,Everton,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/45.png
192947,2015-03-03,66.0,60.0,2,1,Villa Park,Aston Villa,West Brom,https://media.api-sports.io/football/teams/66.png,https://media.api-sports.io/football/teams/60.png
192948,2015-03-03,64.0,74.0,1,1,KCOM Stadium,Hull City,Sunderland,https://media.api-sports.io/football/teams/64.png,https://media.api-sports.io/football/teams/746.png
192949,2015-03-03,41.0,52.0,1,0,St. Mary's Stadium,Southampton,Crystal Palace,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/52.png
192950,2015-03-04,72.0,42.0,1,2,Loftus Road,QPR,Arsenal,https://media.api-sports.io/football/teams/72.png,https://media.api-sports.io/football/teams/42.png
192951,2015-03-04,48.0,49.0,0,1,London Stadium,West Ham,Chelsea,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/49.png
192952,2015-03-04,50.0,46.0,2,0,Etihad Stadium,Manchester City,Leicester,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/46.png
192953,2015-03-04,34.0,33.0,0,1,St James' Park,Newcastle,Manchester United,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/33.png
192954,2015-03-04,75.0,45.0,2,0,bet365 Stadium,Stoke City,Everton,https://media.api-sports.io/football/teams/75.png,https://media.api-sports.io/football/teams/45.png
192955,2015-03-04,47.0,76.0,3,2,White Hart Lane,Tottenham,Swansea,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/76.png
192956,2015-03-04,40.0,44.0,2,0,Anfield,Liverpool,Burnley,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/44.png
192945,2015-03-07,72.0,47.0,1,2,Loftus Road,QPR,Tottenham,https://media.api-sports.io/football/teams/72.png,https://media.api-sports.io/football/teams/47.png
192957,2015-03-14,52.0,72.0,3,1,Selhurst Park,Crystal Palace,QPR,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/72.png
192958,2015-03-14,42.0,48.0,3,0,Emirates Stadium,Arsenal,West Ham,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/48.png
192959,2015-03-14,46.0,64.0,0,0,King Power Stadium,Leicester,Hull City,https://media.api-sports.io/football/teams/46.png,https://media.api-sports.io/football/teams/64.png
192960,2015-03-14,74.0,66.0,0,4,Stadium of Light,Sunderland,Aston Villa,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/teams/66.png
192961,2015-03-14,60.0,75.0,1,0,The Hawthorns,West Brom,Stoke City,https://media.api-sports.io/football/teams/60.png,https://media.api-sports.io/football/teams/75.png
192962,2015-03-14,44.0,50.0,1,0,Turf Moor,Burnley,Manchester City,https://media.api-sports.io/football/teams/44.png,https://media.api-sports.io/football/teams/50.png
192963,2015-03-15,49.0,41.0,1,1,Stamford Bridge,Chelsea,Southampton,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/41.png
192964,2015-03-15,45.0,34.0,3,0,Goodison Park,Everton,Newcastle,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/34.png
192965,2015-03-15,33.0,47.0,3,0,Old Trafford,Manchester United,Tottenham,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/47.png
192966,2015-03-16,76.0,40.0,0,1,Liberty Stadium,Swansea,Liverpool,https://media.api-sports.io/football/teams/76.png,https://media.api-sports.io/football/teams/40.png
192967,2015-03-21,50.0,60.0,3,0,Etihad Stadium (Manchester),Manchester City,West Brom,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/60.png
192968,2015-03-21,66.0,76.0,0,1,Villa Park (Birmingham),Aston Villa,Swansea,https://media.api-sports.io/football/teams/66.png,https://media.api-sports.io/football/teams/76.png
192969,2015-03-21,34.0,42.0,1,2,St. James' Park (Newcastle-upon-Tyne),Newcastle,Arsenal,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/42.png
