Fixture ID,Game Date,Home Team ID,Away Team ID,Home Team Goals,Away Team Goals,Venue,Home Team,Away Team,Home Team Logo,Away Team Logo
193057,2013-08-17,40.0,75.0,1,0,Anfield (Liverpool),Liverpool,Stoke City,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/75.png
193058,2013-08-17,42.0,66.0,1,3,Emirates Stadium (London),Arsenal,Aston Villa,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/66.png
193059,2013-08-17,71.0,45.0,2,2,"Carrow Road (Norwich, Norfolk)",Norwich,Everton,https://media.api-sports.io/football/teams/71.png,https://media.api-sports.io/football/teams/45.png
193060,2013-08-17,74.0,36.0,0,1,Stadium of Light (Sunderland),Sunderland,Fulham,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/teams/36.png
193061,2013-08-17,60.0,41.0,0,1,The Hawthorns (West Bromwich),West Brom,Southampton,https://media.api-sports.io/football/teams/60.png,https://media.api-sports.io/football/teams/41.png
193062,2013-08-17,48.0,43.0,2,0,Boleyn Ground (London),West Ham,Cardiff,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/43.png
193063,2013-08-17,76.0,33.0,1,4,Liberty Stadium (Swansea),Swansea,Manchester United,https://media.api-sports.io/football/teams/76.png,https://media.api-sports.io/football/teams/33.png
193064,2013-08-18,52.0,47.0,0,1,Selhurst Park (London),Crystal Palace,Tottenham,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/47.png
193065,2013-08-18,49.0,64.0,2,0,Stamford Bridge (London),Chelsea,Hull City,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/64.png
193066,2013-08-19,50.0,34.0,4,0,Etihad Stadium (Manchester),Manchester City,Newcastle,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/34.png
193077,2013-08-21,49.0,66.0,2,1,Stamford Bridge (London),Chelsea,Aston Villa,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/66.png
